职位名称#城市#职位职责
销售运营岗（供给策略运营/营销策略运营/销售数据分析/销售效能优化/业务培训与沟通）#北京市, 香港特别行政区, 上海市, 利雅得, 成都市, 深圳市#作为专业化的职能团队，在这里你可以与美团销售铁军紧密配合，为前线业务提供销售策略和运营工作。如果你对以下任意一个方向感兴趣，欢迎网申这个岗位。1.供给策略运营：基于业务策略或项目目标，分析市场需求和竞争环境，拆解落地销售策略，联动各部门（如产品、BA）建资源，保持供给竞争力，支持业务达成目标；2.营销策略运营：基于业务策略、用户需求和商家需求，通过洞察、创意、整合相关站内外流量资源和传播资源，完成营销项目交付，实现业务结果；3.销售数据分析：基于组织整体的分析框架，结合销售策略提供数据支持和分析等，以监控业绩和预测趋势，及时发现机会和问题，促进销售队伍业务规划和理性决策能力的提升；4.销售效能优化：结合业务现状及发展方向，通过制定优化销售标准流程，联动各部门（如产品）建立和持续升级销售及管理工具，以促进销售效率和产能的提升；5.业务培训与沟通：结合销售和商家的能力水平和痛点问题，协同内外部资源，完善培训制度，建设充足的培训资源；搭建和运营内外部官方宣传渠道，提升宣传效果，为销售和商家赋能，助力业务策略落地，提升行业影响力。
城市运营培训生#温州市, 北京市, 苏州市, 天津市, 绍兴市, 琼海市, 呼和浩特市, 包头市, 上海市, 兰州市, 成都市, 长春市, 贵阳市, 珠海市, 银川市, 汕头市, 河源市, 济南市, 襄阳市, 广州市, 武汉市, 深圳市, 合肥市, 菏泽市, 玉林市, 南京市, 钦州市, 桂林市, 沈阳市, 南宁市, 鞍山市, 西安市, 南充市, 昆明市, 长沙市, 乌鲁木齐市, 重庆市, 洛阳市, 南昌市#1.通过实地观察、数据分析，制定经营策略，对所负责区域的车辆运营管理工作负责；2.负责城市资产的健康管理及仓库现场管理，保障仓库安全及车辆维修质量和效率；3.组建和管理运维团队，包括一线运维司机、摆车人员、维修专员等；4.对接区域内政府主管部门，配合政府部门对城市运营问题进行管理。
软件开发工程师（前端&移动端方向）#北京市, 上海市, 成都市, 深圳市#移动端开发方向1.在这里，你将参与研发上亿用户使用的App，你将体验到与用户零距离，随时倾听他们的心声，感受到他们因你的产品而喜悦的成就感；2.在这里，你还将参与客户端架构工程体系的建设，通过各种技术优化、组件化、自动构建，线上运维等领域的先进技术提高运营质量和开发效率，支撑业务的快速稳定发展！3.你可以和后端、SRE、质量工程师，PM，设计师们一起，不断优化，达到业界领先的性能和用户体验。Web前端开发方向1.在这里，你将负责网站和手机终端的交互界面实现的工作，为我们的用户呈现优秀的界面交互体验；2.在这里，你还将参与客户端架构工程体系的建设，通过各种技术优化、组件化、自动构建、线上运维等领域的先进技术提高运营质量和开发效率，支撑业务的快速稳定发展！3.你可以和设计师、产品策划一起，实现炫酷的网页效果，在关键时刻尽情展现自己在美术和设计方面被隐藏的天赋。
软件开发工程师（数据开发方向）#北京市, 上海市, 成都市, 深圳市#1.数据仓库的建设、组织和管理，沉淀数据资产；2.数据建设过程的各项工具研发，如数据安全、数据质量、数据开发的工具链等；3.数据应用的研发，如商业智能、挖掘、分析报告、数据可视化等；4.其他服务于业务各环节的数据运营工作。
产品运营岗（用户/商家及供给/内容/工具系统/体验运营方向）#北京市, 香港特别行政区, 上海市, 利雅得, 成都市, 深圳市#在这里你有机会参与美团的各类运营岗位，可以全方位感受运营的魅力！惊喜无处不在！如果你对以下任意一个方向感兴趣，欢迎网申这个岗位。1.用户运营：以用户为中心，遵循用户的需求设置运营活动与规则，制定运营策略与运营目标，并能够做好全过程的项目推进，目标管理，进度管理和执行落地，通过数据对效果进行评估。持续增加用户洞察、为用户创造更多价值的方式实现用户健康增长。2.商家及供给运营：以商家/骑手/司机/供应商为运营主体，通过对行业和市场的理解，运用科学合理的方式制定相应策略，传递公司和平台的价值主张，实现业务渗透、规模增长、结构优化、生态治理等，同时提升商家/骑手/司机/供应商的活跃度、经营效率、服务水平与经营收益。3.内容运营：以内容/信息/数据的生产、消费、业务应用为核心，开展UGC、PGC、POI运营管理、新媒体运营，搭建良性生产循环，持续提升所在业务关键维度的指标，如内容数量、浏览量、内容互动数、内容传播数、信息及数据的质量等。4.工具系统运营：围绕内部用户，通过基础数据分析和建设、系统开发和使用、规则流程或政策制定、培训指导、现场支持等方式推动各方效率提升。5.体验运营：作为助手，为体验问题定位、分析、解决、评估提供全流程支持；站在客户服务体验视角，关注服务工具的迭代和运营，与业务共同推进服务工具的效率和体验；不断推动完善体验评估数据产品，与业务共建高效的体验评估产品工具。
业务运营管理岗#北京市, 上海市, 石家庄市, 成都市, 武汉市#如果你对以下任意一个方向感兴趣，欢迎网申这个岗位。1.制定客服/商服体系业务规划、服务标准及政策，梳理及优化服务流程，进行呼入总量预测与分解，提高服务运营效率与质量；2.设计并不断优化服务标准，通过全渠道多种监控方式发现流程和人员执行的问题，输出高价值监控报告，推动问题改善，缩小用户期望的服务与实际感知到的服务之间的差距；3.深入了解业务，基于需求变化、外部竞争、内部状态等视角，全面地思考，结合整体的业务目标，挖掘业务机会点；联合BA、数据产品对指标数据定义统一口径，搭建业务指标体系，并推进建设数据工具；通过对数据的监控，追踪关键指标的进展，发现问题并推进改善问题，提升营运标准；负责业务团队的日常数据监控，日、周、月报的维护和输出。
商户运营专员#成都市#1.负责美团全国商户线上运营方案，对商户的经营改善负责，促成商户与平台的持续合作；2.通过主动电话外呼，与合作商户负责人建立客情，洞察经营需求，并提供专业的线上营销解决方案，提升线上售卖量，提高门店运营效率；3.及时处理商户在交易类产品、线上营销活动、商家系统使用中遇到的问题，提高商户及用户满意度；4.处理客户异议，促成合同签约，并与渠道经理进行客户信息交接，为渠道经理开展后续工作提供支持。
众包运力运营岗#合肥市, 贵阳市, 宁波市, 苏州市, 北京市, 沈阳市, 重庆市, 上海市, 青岛市, 哈尔滨市, 佛山市, 深圳市#1.对负责区域制定配送体验优化方案并有效地执行方案，同时对执行结果进行有效复盘；2.重点围绕骑手的招聘，培训，提效，留存，淘汰等环节开展工作，保证负责区域的运力活力以及提升履约服务质量，提升用户体验；3.处理由履约原因产生的相关商户问题，以及能够良好地协同其他部门进行问题解决；4.对负责的骑手运营项目，能够做出短、中、长期的规划，制定高效的运营方案并达成业务结果。
产品视觉设计师#北京市, 上海市#1.负责相关业务的品牌营销视觉设计工作，包含且不限于活动视觉、会场搭建、互动玩法、传播推广等相关设计工作；2.负责从需求沟通、概念创意到最终呈现的整体设计方案执行，积极组织协作沟通，通过对业务的理解和专业能力，完成符合质量和效率要求的设计产出；3.关注行业趋势与行业动向，主动沉淀设计工作方法，积极与组内分享；4.有产品设计需求对接经验及UI设计经验者优先；5.能够结合业务目标及规划，提出创新思路，持续为业务输出优质设计方案。
渠道管理#北京市, 天津市, 重庆市, 上海市, 成都市, 广州市, 深圳市#1.负责区域内目标合作商的挖掘和洽谈合作工作，并带领合作商完成美团业务目标；2.协助合作商组建和管理团队，辅导和监督合作商做好团队的管理工作；3.给合作商团队成员有效的培训和辅导；4.总结梳理合作商团队工作中的关键动作，使之流程标准化并落地执行；5.从业务数据中发现问题，持续优化合作商的业务和管理；6.从合作商的角度出发思考问题，保证合作商与美团在资源互补、目标一致的方向健康发展；7.对合作商团队进行公平公正且有效的工作考核，对不符合考核标准的合作商进行坚决清退。
