数据分析师(j31885)#20k-40k#[北京·酒仙桥]#经验3-5年 / 本科#五八同城信息技术有限公司#“免费班车”#营销服务｜咨询
高级数据分析师（用户增长）#30k-40k#[北京·酒仙桥]#经验5-10年 / 本科#360#“核心团队”#MySQL
数据分析师(投放)#20k-40k#[北京·朝外]#经验1-3年 / 本科#五八同城信息技术有限公司#“发展空间大”#内容社区
资深/高级数据分析师-HE4997#20k-35k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,发展前景好”#IT/互联网-新闻资讯
高级数据分析师-抖音数据运营中台#30k-60k#[北京·海淀区]#经验不限 / 本科#字节跳动#“下午茶,健身瑜伽,六险一金,股票期权”#弹性工作
资深数据分析师/数据分析专家-国际化短视频#25k-50k#[上海·徐汇区]#经验不限 / 本科#字节跳动#“下午茶,六险一金,股票期权,团队氛围好”#数据挖掘
高级数据分析师（成都） (MJ000412)#15k-28k#[成都·高新区]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定”#R
高级数据分析师（上海） (MJ000802)#20k-35k#[上海·陆家嘴]#经验3-5年 / 硕士#百融云创#“发展空间大，平台稳定，福利好”#回归算法
高级资深数据分析师 (MJ009712)#35k-65k#[深圳·西丽]#经验3-5年 / 本科#SHEIN#“电商独角兽”#电商平台
资深数据分析师 (MJ010508)#20k-40k#[广州·番禺区]#经验3-5年 / 本科#SHEIN#“弹性工作制，扁平化管理”#物流平台
资深数据分析师#15k-25k#[北京·朝阳门]#经验5-10年 / 本科#Zenjoy#“出海休闲、精英团队、年底多薪”#游戏
广告数据分析师#18k-30k#[北京·海淀区]#经验3-5年 / 本科#创智汇聚#“文化氛围好”#工具类产品
高级数据分析师（增长方向） (MJ006698)#18k-25k#[北京·三里屯]#经验3-5年 / 本科#微博#“核心岗位”#社交平台
数据分析师-直播营收方向#25k-45k#[上海·杨浦区]#经验3-5年 / 本科#哔哩哔哩#“上市公司,五险一金”#带薪年假
风险数据分析师#20k-30k#[深圳·大冲]#经验3-5年 / 本科#小花科技#“平台稳定、个人成长空间大”#科技金融
高级数据分析师#30k-45k#[上海·洋泾]#经验5-10年 / 本科#奇富科技#“发展空间大 团队氛围好”#Excel
（BI)高级/资深数据分析师#30k-40k#[上海·杨浦区]#经验5-10年 / 本科#国泰产险#“股东平台交流机会、发展空间大、弹性工作”#数据运营
数据分析师-求职/招聘#20k-40k#[上海·浦东新区]#经验5-10年 / 本科#51JOB#“团队氛围好 发展空间大”#专业服务｜咨询
数据分析师（投放策略）#30k-50k#[上海·洋泾]#经验3-5年 / 本科#微财数科#“六险一金 核心团队”#回归算法
数据分析师#12k-20k#[深圳·上沙]#经验3-5年 / 本科#金证睿服#“招商基金”#科技金融
数据分析师#5k-8k#[上海·黄浦区]#经验在校/应届 / 本科#医之良相#“五险一金,定期体检,周末双休”#营销服务｜咨询
数据分析师#12k-24k#[苏州·工业园区]#经验1-3年 / 本科#瑞翼#“团队年轻，福利好，五险一金，双休”#营销服务｜咨询
数据分析师#9k-15k#[福州·鼓楼区]#经验不限 / 本科#贵州瀚溯信息咨询服务有限公司#“五险一金,绩效奖金,定期体检”#网络通信
数据分析师#6k-9k#[广州·天河区]#经验3-5年 / 本科#彩讯股份#“双休”#软件服务｜咨询
