岗位名称,岗位类别,岗位职责,岗位要求,工作地点,入职部门,详情页链接
行业代表助理,销售族,标准职责: 1、协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 2、协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 3、协助行业代表开展项目运作，保证项目成功率； 4、支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 5、支撑行业代表和伙伴销售经理管理客户满意度。,语言要求: 简体中文  教育背景要求: 本科及以上学历  技能要求: 有一定的ICT知识优先,中国/呼和浩特,内蒙古政企泛企业系统部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19223&dataSource=1
产品销售助理,营销族, 支撑运营商新赛道业务、执行新赛道产品营、销业务策略落地；达成业务经营/格局/竞争目标；负责5G商业成功简单场景运营，数字化营销工作执行；负责品牌活动策划和落地，运营标杆复制，经验总结等，支撑5G商业成功目标达成。 1、收集产品销售商机，高潜用户、场景识别，机会点挖掘和跟踪。 2、面向运营商基层客户和设计院的客户沟通与交流，销售项目的落地流程跟踪等。 3、开展中基层标准产品的品牌和特性指标技术交流，创新产品测试等试点工作，赋能客户。 4、组织新赛道及相关产品品牌活动，支撑业务经营/格局/竞争目标达成。 5、负责5G商业发展项目及简单场景的品牌、运营等营销活动的策划落地及总结等。 6、支撑5G商业发展标杆运营局点复制，总结孵化和运营经验，助力项目持续运营经验。,语言要求: 简体中文  教育背景要求: 本科及以上学历  技能要求: 1、本科及以上学历，了解5G/接入网/计算/云/存储/DC/通信能源等相关解决方案。 2、深入理解本产品域基本原理和知识，对产品域解决方案有比较深入的理解与应用。 3、了解产业格局和友商产品方案、市场动态；熟悉本产品领域先进的发展方向。 4、熟练掌握运营整体相关知识，比如：产品运营、活动运营、数据运营等。 5、熟练掌握品牌、数字化营销基础流程，有一定的品牌和数字营销经验。,中国/石家庄,河北运营商区域解决方案拓展,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19166&dataSource=1
政企行业解决方案销售经理,营销族,1、达成年初制定的行业场景化解决方案销售目标； 2、围绕成熟的场景化解决方案，深入洞察和挖掘机会点空间，制定并执行拓展策略； 3、项目售前支撑：在售前拓展中挖掘与理解客户需求，完成与中基层客户的场景化解决方案引导、技术交流和方案设计。面向重点客户宣讲交流、投标支持、合作伙伴赋能； 4、协同ISV生态合作伙伴，共同推动场景化解决方案在客户侧的落地，支撑面向合作伙伴的场景化解决方案赋能；,1、技能要求:具备行业洞察和理解能力，具备一定的项目运作与管理能力；具备行业解决方案设计与顾问式销售能力； 2、知识要求:熟悉行业知识、ICT产品相关的业务知识，如IT、数通、云计算等  3、专业证书要求:具备HCIP/HCIE、CCNP/CCIE技术认证，或PMP、TOGAF、CDMP相关认证者优先； 4、其他要求:良好的沟通协调能力，有较强的学习能力及团队合作精神，主动性强、责任心强、执行力强、工作认真细致。 5、本科及以上 。,中国/广州,广东政企Marketing与解决方案销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19201&dataSource=1
射频芯片技术专家,研发族,1、负责从技术上牵头进行终端射频领域N+2的关键技术研究，拉通射频各子领域形成N+2的架构创新、单点领域关键技术准备、周边领域指标分解等。 2、负责从终端用户关键用户需求、系统最优的角度定义芯片架构，得到最佳的系统竞争力。 3、负责规划、定义终端Modem、RFIC、RFFE芯片，包括路标演进、接口定义、供应商牵引等。,1、深入了解终端Modem、RFIC关键技术，有相关设计经验最佳； 2、熟悉终端射频、中频全链路，熟悉SoC套片与射频前端之间的接口方案； 3、深入了解RF及天线设计理论，深入了解RF/MMIC和天线设计、布局和仿真技术； 4、熟悉大射频系统其它相关知识，包括但不限于：射频器件、射频算法、电磁兼容等。,中国/上海,射频平台与技术开发一部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15855&dataSource=1
技术专家B（视频算法架构）,研发族,负责视频算法架构的方案设计和演进，对旗舰机视频竞争力领先责任结果负责 1、负责视频算法架构的设计，包括噪声细节、亮度颜色、时间稳定性等； 2、牵引ISP芯片方案演进，支撑旗舰机系统相机、三方视频竞争力； 3、解决开发交付过程中的关键问题，负责重大问题攻关和技术问题闭环。,1、有8+年以上图像算法经验，包含不限于计算机视觉、图像处理、计算摄影学； 2、熟悉ISP、芯片硬化算法； 3、了解Camera硬件者优先 ,中国/上海,Camera算法平台技术部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16714&dataSource=1
技术专家B（低比特底层视觉量化）,研发族,负责Camera拍照和视频底层处理AI算法的轻量化，降低算法功耗和运行时延，支撑手机拍照和视频竞争力领先 1、负责camera拍照和视频等底层视觉AI算法的低比特轻量化 2、预研新型网络架构和轻量化算法，并牵引芯片实现 ,1、有8+年以上图像算法经验，包含不限于计算机视觉、图像处理、计算摄影学； 2、熟悉终端Camera业务 3、有领级学术论文发表者优先 ,中国/上海,AI技术应用部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16722&dataSource=1
光学设计专家（主摄）,研发族,1、负责Camera成像镜的光学设计、创新性架构的光路设计，光学精细化仿真等； 2、负责镜头开发的能力建设，解决性能改善与良率提升、可靠性优化等，承担创新光学系统的端到端方案实现与量产落地； 3、负责镜头试制开发过程的重大问题攻关和技术问题闭环，解决开发产品的相关技术问题；,1、有8+年以上终端产品光学系统设计经验，包含不限于面向最终效果和工程良率的光学设计、仿真、杂光能力； 2、有光学架构创新、新材料应用&验证能力，有解决镜头重大设计和生产问题经验优先； 3、在业界头部厂家工作者优先 ,中国/上海,Camera硬件平台技术部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=16266&dataSource=1
行业代表助理,销售族,标准职责: 协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 协助行业代表开展项目运作，保证项目成功率； 支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 支撑行业代表和伙伴销售经理管理客户满意度。,语言要求: 简体中文 教育背景要求: 本科及以上 知识要求: 有一定的ICT知识优先 ,中国/长春,吉林政企业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19163&dataSource=1
渠道销售专员,销售族, 1.在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 2.基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 3.参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 4.基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成；,语言要求: 简体中文 教育背景要求: 本科及以上 知识要求: 优先的经验：有渠道拓展/销售成功经验；项目运营经验等；,中国/成都,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19125&dataSource=1
渠道销售专员,销售族, 1.负责区域内的分销金牌、分销精英渠道体系的布局、搭建。 2.联合区域内的分销金牌、分销精英落地市场推广动作。 3.能够快速掌握华为政企分销产品&方案，并能够对辖区内的分销金牌、分销精英人员定期举行培训赋能，帮助其提升整体销售和营销能力。 4.对辖区内分销金牌、分销精英进行日常管理、关系维护及维护市场秩序，指导渠道备货，提升渠道满意度。 5.对负责渠道的分销销售收入目标达成负责。 ,语言要求: 简体中文 教育背景要求: 本科及以上学历， 技能要求: 有相关分销销售经验，熟悉分销运作模式。具备专项产品技术背景的优先； 有渠道开拓和管理经验，能够识别、确定潜在的分销合作伙伴，熟悉当地的渠道市场现状； 具备伙伴洞察、拓展、维护等合作能力、营销活动执行能力； 有2年及以上分销销售成功经验优先，有相关友商网络、服务器、存储、安防产品销售经验； 勇于创新、有激情愿意接受挑战，能快速适应新环境和岗位角色,中国/绵阳,四川政企分销销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19155&dataSource=1
