岗位名称,岗位类别,岗位职责,岗位要求,工作地点,入职部门,详情页链接
物流采购经理,采购族,"1、采购内容包括：物流服务品类的采购，包含空运、海运、陆运、仓储、清关服务等； 2、工作主要职责：供应商的sourcing,选择（招投标，谈判等），供应商日常沟通和绩效管理，采购合同拟制谈判和采购履行监控等工作： ● 根据公司采购策略，与供应商建立长期稳定的合作关系； ● 分析采购需求，分析行业市场，寻找潜在的合作伙伴，确保采购策略的有效性； ● 识别全球采购环境变化的风险，建立并实施风险防范体系，确保物流服务稳定性； ● 固化供应商绩效评估体系，确保持续改进。",语言要求: 英语四级 教育背景要求: 全日制本科及以上  技能要求: 1.良好的与供应商和内部客户进行人际交往和谈判的技巧； 2. 具备全局观念，有能力影响跨部门决策，良好的跨部门推动能力和执行能力； 3. 有供应链管理经验、商务谈判经验者优先。  知识要求: 熟悉各类办公软件（EXCEL，PPT等）；有物流基础知识者优先。,中国/东莞,物流采购认证部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=10264&dataSource=1
采购履行助理,采购族,标准职责: 承担一般品类原材料的供应保障工作，识别和管理供应风险，执行和落地供应策略，保障原材料的及时高效供应。 1. 承担一般品类物料采购履行工作。负责PO下单、到货及逆向、验收付款等PO全生命周期管理； 2. 通过供需匹配识别供应风险，及时预警并推动解决；管理供应商三级备货等策略执行，支撑供应保障策略落地； 3. 及时识别和预警供应商关停并转、突发事件等导致的供应风险，推动供应保障措施制定，确保供应保障措施的执行落地； 4. 基于供应商交付绩效结果，组织对供应商进行供应绩效评估及沟通，跟踪完成供应商绩效沟通和整改；   5. 了解所负责品类供应商的交付体系审核条款，并通过对供应商进行交付流程、IT系统、BCG/内控等系统化的基础赋能，提升交付能力及协同效率； 6. 通过供应商沟通协同，达到供需平衡，使库存达到良好水平，有效降低不良存货。,语言要求: 英语四级  教育背景要求: 大学本科及以上应届生，供应链、制造、物流、国际贸易、行销等领域相关工作经验人员。  技能要求: 1. 掌握所负责品类的专业知识，包括：品类知识及用途、履行特点、交付瓶颈工序、主要供应商分布、行业竞争态势等； 2. 熟悉商务基本知识，包括但不限于国际贸易、合规、商务礼仪、基本财务知识等； 3. 具备良好的内外部沟通及协调能力。,中国/东莞,综合采购履行管理部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=10207&dataSource=1
服务产品技术项目采购经理,采购族,作为站点集成服务产品技术项目采购经理，负责对应领域的产业链管理和可采购性设计，构建采购领域的相对优势，实现产业商业成功。 1、根据产品采购策略规划，负责执行物料供应商sourcing、选型和认证、质量管理、编码生命周期管理、目标成本管理等； 2、根据产品采购策略规划，负责交付合作策略、分包工具和可服性措施的分包商验证； 3、负责处理产品开发过程中供应商相关问题； 4、负责处理产品上市初期的交付保障和供应商相关的市场问题。,语言要求: 英语四级及以上 背景要求: 1、统招全日制本科及以上，理工科相关专业； 2、有5年以上的站点土建设计或实施经验优先； 3、具备通讯行业项目管理或技术管理经验优先； 4、具备土建项目团队管理经验优先。  知识/能力/技能要求: 1、熟悉通信站点土建建设流程、方案、实施等； 2、能够熟练使用CAD软件或者结构分析软件; 3、具有强烈的使命感，坚持结果导向； 4、能长期保持积极、开放的心态，不断学习迭代； 5、具备一定前瞻性思维和预判能力； 6、具备较强的沟通和影响力。,中国/东莞,服务产品采购工程部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=17113&dataSource=1
仪器装备采购经理,采购族,工作主要职责：  1、主导负责品类的供应商资源sourcing，供应商认证（供应商最低资质评估、现场考察、协议签署、认证汇报、上网发布）； 2、制定、维护、和规范执行所负责品类的采购策略，确保优质交付； 3、实施负责品类相关的RFQ、RFP和RFI有关的活动，负责物料相关的供应商选择； 4、负责建立与维护供应商的关系，做好供应商资源管理，确保获得采购相对优势； 5、按照采购流程及授权规定，与供应商签订合同及协议。,语言要求: 英语四级 教育背景要求: 统招本科及以上  技能要求: 1、有项目交付经验、供应链管理经验、制造，装备相关开发或制程工艺等经验、商务谈判经验者优先； 2、有制造装备基础知识和了解项目交付流程优先考虑； 3、掌握项目管理方法，熟悉某一行业装备资源； 4、要求具备良好的沟通能力、团队合作能力和逻辑思维能力； 5、熟悉各类办公软件（EXCEL，PPT等）。,中国/东莞,仪器装备采购认证部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=14734&dataSource=1
供应链算法及AI应用专家,供应链族,1、对齐供应链业务战略，联合业务领域识别业务挑战及应用机会点，制定AI应用战略及演进路标，规划并落地AI应用的系统及解决方案架构，牵引应用架构及技术架构的演进；  2、聚焦供应链的核心高价值业务场景，通过构建AI应用，赋能供应方案设计、供应资源决策、订单履行管理等，优化供应链作业及运作模式，提升工作效率、质量与客户/伙伴供应服务满意度。,教育背景要求:本科及以上 技能要求:良好的需求理解力、问题分析、归纳能力 、跨领域协调能力 知识要求: 1、优秀的洞察及架构能力，熟悉数字化经验及4A架构； 2、熟悉Transformer、增量预训练、SFT、RAG、Agent技术栈，有大规模集群上实践经验者优先； 3、对技术有热情，具备良好的沟通表达能力和团队精神，自驱力强；,中国/东莞,数字化产品架构部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15760&dataSource=1
供应链算法及AI应用专家,供应链族,1、负责以大模型为核心的数据增强能力建设，收集、组织、管理和存储原始业务数据，对供应领域知识进行抽象，建立供应领域知识图谱转化为准确、可用的信息，供AI模型访问调用；  2、负责结合AI大模型应用场景，总结提示词、语料标注方法，支撑提示词，语料标注推广。,教育背景要求:本科及以上 技能要求:良好的需求理解力、问题分析、归纳能力 、跨领域协调能力 知识要求: 1、优秀的代码能力、数据结构和基础算法功底，熟悉Pytorch、MindSpore等深度学习框架； 2、熟悉Transformer、增量预训练、SFT、RAG、Agent技术栈，有大规模集群上实践经验者优先； 3、对技术有热情，具备良好的沟通表达能力和团队精神，自驱力强； 4、有供应链AIGC相关场景实践及落地者优先。,中国/东莞,供应链数据管理部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15751&dataSource=1
渠道销售专员,销售族,"1、参与所属领域的合作伙伴规划，在指导下负责某个领域合作伙伴拓展、合作伙伴联合营销活动，实现所负责领域的合作伙伴商业目标，建立与维护一般合作伙伴CXO或价值合作伙伴中高层客户关系,促成双方合作； 2、 对渠道销售收入目标负责；  3、构建渠道沙盘，并维护和拓展好本区县的核心渠道（渠道激活数/激活率）； 4、负责渠道Pipeline管理，配合渠道进行营销活动执行，提升渠道复购率；  5、 收集、分析区域集成商信息，结合友商竞争情况，输出市场分析报告；  6、 负责渠道满意度。",教育背景要求:本科及以上 技能要求: 1、了解、执行业务范围内MPR、OTO等流程；具有伙伴合作能力、团队管理能力、营销活动执行能力； 2、深入熟悉渠道，构建与核心渠道的良好合作关系； 3、对友商的市场动态进行例行化管理和反馈； 4、渠道销售收入目标；渠道Pipeline管理；渠道激活数/激活率；客户激活数；渠道复购率、渠道满意度； 5、优先的经验：有政企市场工作经验，有渠道拓展/销售成功经验；业务运营经验、项目运营经验等。 ,中国/芜湖,安徽政企芜湖业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19870&dataSource=1
渠道销售专员,销售族," 参与所属领域的合作伙伴规划，在指导下负责某个领域合作伙伴拓展、合作伙伴联合营销活动，实现所负责领域的合作伙伴商业目标，建立与维护一般合作伙伴CXO或价值合作伙伴中高层客户关系,促成双方合作 ",语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 1、能力要求：伙伴合作能力、团队管理能力、营销活动执行能力； 2、其他：敢于挑战，较强的执行力。 知识要求: 具备ICT领域知识。 ,中国/成都,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19864&dataSource=1
数字能源业务拓展代表,销售族,主要对接一般NA客户，客户关系规划，客户关系柘展，客户满意度管理。 理解客户需求，协助设计匹配解决方案，进行项目预算和方案引导。 中小销售项目的主导者，协助制定项目策略，协调内外部资源，端到端全流程监控和执行项目，做好竞争管理及项目风险管理。 ,教育背景要求: 本科及以上 技能要求: 合作、团队管理、营销活动执行能力 知识要求: 沟通、理解、执行能力，本业务领域专业、专注，敢于挑战,中国/重庆,重庆数字能源业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19810&dataSource=1
渠道销售专员,销售族,在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成；,教育背景要求: 本科及以上学历,中国/无锡,江苏政企分销销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19832&dataSource=1
渠道销售专员,销售族,1、协助负责区域内的分销金牌、分销精英渠道体系的布局、搭建，联合区域内的分销金牌、分销精英落地市场推广动作；  2、对辖区内的分销金牌、分销精英人员定期举行培训赋能，帮助其提升整体销售和营销能力； 3、对辖区内分销金牌、分销精英进行日常管理、关系维护及维护市场秩序，指导渠道备货； 4、协助建立与维护一般合作伙伴CXO或价值合作伙伴中高层客户关系，促成双方合作 协助负责电商的产品规划、产品操盘策略、产品计划与库存管理、产品生命周期管理、专项产品营销策略支撑分销销售经理达成所负责区域的分销销售收入目标。,教育背景要求: 本科及以上学历，优先考虑计算机、网络、通信等相关专业  技能要求: 1、有分销销售经验，熟悉分销运作模式。具备专项产品技术背景的优先； 2、有渠道开拓和管理经验，能够识别、确定潜在的分销合作伙伴，熟悉当地的渠道市场现状； 3、具备伙伴洞察、拓展、维护等合作能力、营销活动执行能力；  知识要求: 1、有分销销售成功经验优先，有网络、服务器、存储、安防产品销售经验； 2、勇于创新、有激情愿意接受挑战，能快速适应新环境和岗位角色。,中国/深圳,广东深圳政企分销销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19842&dataSource=1
渠道销售专员（商业方向）,销售族,标准职责: 1、对本区域渠道销售收入目标负责； 2、负责本区域渠道销售策略的执行落地，拓展、维护好渠道； 3、区域营销的活动执行；总代售前及服务支持中心的人员日常管理。,语言要求: 简体中文 知识要求: 原则上需具备计算机、网络、通信、电子、信息等相关专业背景； 熟悉网络、IT、安防、视频会议、数字能源等ICT相关产品，有相关厂商/专业机构证书的优先,中国/聊城,山东政企鲁西北业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=9089&dataSource=1
行业代表助理,销售族,标准职责: 协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 协助行业代表开展项目运作，保证项目成功率； 支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 支撑行业代表和伙伴销售经理管理客户满意度。,语言要求: 简体中文 教育背景要求: 本科及以上 技能要求: 客户沟通和连接能力、伙伴合作能力、团队管理能力、营销活动执行能力 知识要求: 有一定的ICT知识优先,中国/青岛,山东政企青岛业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=15869&dataSource=1
仪器装备采购经理,采购族,工作主要职责： 1、主导负责品类的供应商资源sourcing，供应商认证（供应商最低资质评估、现场考察、协议签署、认证汇报、上网发布）； 2、制定、维护、和规范执行所负责品类的采购策略，确保优质交付； 3、实施负责品类相关的RFQ、RFP和RFI有关的活动，负责物料相关的供应商选择； 4、负责建立与维护供应商的关系，做好供应商资源管理，确保获得采购相对优势； 5、按照采购流程及授权规定，与供应商签订合同及协议。,语言要求: 英语四级 教育背景要求: 统招本科及以上  技能要求: 1、有项目交付经验、供应链管理经验、制造，装备相关开发或制程工艺等经验优先； 2、有制造装备基础知识和了解项目交付流程优先考虑； 3、掌握项目管理方法，熟悉某一行业装备资源； 4、要求具备良好的沟通能力、团队合作能力和逻辑思维能力； 5、熟悉各类办公软件（EXCEL，PPT等）。,中国/东莞,仪器装备采购认证部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19358&dataSource=1
仪器装备采购经理,采购族,工作主要职责： 1、主导负责品类的供应商资源sourcing，供应商认证（供应商最低资质评估、现场考察、协议签署、认证汇报、上网发布）； 2、制定、维护、和规范执行所负责品类的采购策略，确保优质交付； 3、实施负责品类相关的RFQ、RFP和RFI有关的活动，负责物料相关的供应商选择； 4、负责建立与维护供应商的关系，做好供应商资源管理，确保获得采购相对优势； 5、按照采购流程及授权规定，与供应商签订合同及协议。,语言要求: 英语四级 教育背景要求: 统招本科及以上  技能要求: 1、有项目交付经验、供应链管理经验、制造，装备相关开发或制程工艺等经验、商务谈判经验者优先； 2、有制造装备基础知识和了解项目交付流程优先考虑； 3、掌握项目管理方法，熟悉某一行业装备资源； 4、要求具备良好的沟通能力、团队合作能力和逻辑思维能力； 5、熟悉各类办公软件（EXCEL，PPT等）。,中国/东莞,仪器装备采购认证部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19817&dataSource=1
产品销售助理,营销族,1、支撑产品销售经理在商业市场解决方案拓展及产业伙伴拓展的相关工作； 2、负责销售方案需求分析，设计配置报价，商务申请及下单支撑； 3、配合华技产品经理完成解决方案的上市及面向伙伴的赋能交流，使能伙伴技术人员； 4、参与品牌活动的组织和内容策划，执行议题/展台讲解等工作。 ,教育背景要求:本科及以上 技能要求: 1、深入理解本产品域基本原理和知识，对产品域解决方案有比较深入的理解与应用； 2、了解产业发展趋势和友商产品方案、市场动态； 3、熟悉行业生态、产业格局、友商动态； 4、熟悉产业先进的发展方向。  能力要求: 1、产业市场规划能力；技术层客户、渠道关系拓展能力； 2、产品解决方案引导能力 、项目运作能力 、交易管理能力。,中国/合肥,安徽政企商业销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19825&dataSource=1
数字能源合作伙伴拓展与运营代表,销售族, 1、根据伙伴合作地图，拓展并维护合作伙伴。 2、对地市商业市场、分销业务的销售、品牌目标的达成负责。 3、落实渠道相关业务流程主要包括注册、认证、授权函、通路、合作异常、线上线下赋能以及营销业务流程等。,教育背景要求: 本科及以上 技能要求: 合作、团队管理、营销活动执行能力 知识要求: 沟通、理解、执行能力，本业务领域专业、专注，敢于挑战,中国/重庆,重庆数字能源业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19803&dataSource=1
渠道销售专员,销售族, 1.在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 2.基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 3.参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 4.基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成； ,语言要求: 简体中文 教育背景要求: 本科及以上  技能要求: 1、能力要求：伙伴合作能力、团队管理能力、营销活动执行能力； 2、其他：敢于挑战，较强的执行力。 知识要求: 具备ICT领域知识。,中国/成都,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19789&dataSource=1
数字能源合同商务助理,销售族,1、	基于公司授权行权规则适配并建设区域授权规则； 2、	例行对SDT决策业务进行总结分析，识别决策运作执行规范、质量和效率问题，并提出相应改进措施； 3、承接区域关于MAE和MCE合规要求和PR/SACA； 4、负责合同生成管理，协助起草/撰写合同条款，识别条款风险并制定改进计划，对合同文本质量负责； 5、负责合同履约管理、跟踪项目风险闭环/假设兑现，并对合同变更、开票、关闭等进行规范性管理。,教育背景要求: 本科 ,中国/南京,江苏数字能源业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19782&dataSource=1
采购运营管理专员,质量与流程IT族,1.	组织指标管理：采购各层组织KPI的制定、分解、监控、预警，支撑采购组织绩效指标达成； 2.	战略到执行落地：基于采购战略，开展重点工作项目任务的评审、监控和日常管理，部分关键项目作为项目PMO保障各项措施切实落地执行； 3.	针对关键的KPI指标和重点工作关键举措，开展数字化工具的建设和运营，建立监控和预警机制，识别风险并驱动绩效改进； 4.	运用项目管理方法，统筹召开全球采购年会、BP重点工作研讨等中大型会议，保障会议效果； 5.	建设和完善客户交流机制及资源池，审视刷新采购客户交流材料，支撑客户交流，助力公司多打粮食。,语言要求: 大学英语4级，同等或以上水平。  专业背景要求: 1.	全日制本科及以上学历；理工科、供应链背景优先； 2.	供应链、制造等领域3-5年业务运营工作经验，有数字化运营工作经验优先； 3.	取得PMP项目管理资质证书优先。  能力要求: 1.	有系统性和结构化思维能力，有高度的责任心； 2.	有良好的理解力和沟通表达能力，具备跨部门/业务的推动影响力； 3.	具备较强的问题分析与解决能力，快速学习能力； 4.	能够熟练使用IT工具。,中国/东莞,采购质量与运营部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19774&dataSource=1
产品销售助理,营销族,独立执行多个产品在价值地市或多个一般地市的营销策略，面向地市中基层客户和设计院的客户沟通与交流；收集地市商机，高潜用户、场景识别，机会点挖掘和跟踪；开展地市中基层标准产品的品牌和特性指标技术交流，赋能客户；支撑客户面向行业的市场拓展；配合策划和组织地市产品品牌活动，达成业务经营/格局/竞争目标。,技能要求: 1、熟练掌握和应用本产品/本领域知识， 有数通产品领域、安全及家庭领域拓展经验优先； 2、能够独立完成解决方案制定、技术引导、配置优化和商务策略制定，有售前解决方案销售经验优先 能力要求: 1、沟通能力和团队合作能力 ：有良好的沟通能力和团队合作精神，工作细致认真，有较好的学习能力，强烈的责任意识和自驱力； 知识要求: 1、了解云、计算、存储、DC、接入网、通信能源、5G等相关解决方案优先。 其他要求: 有一定的项销售项目运作经验。,中国/金华,浙江运营商区域解决方案拓展,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19695&dataSource=1
行业代表助理,销售族,1、协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 2、 协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 3、 协助行业代表开展项目运作，保证项目成功率； 4、 支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标；  5、支撑行业代表和伙伴销售经理管理客户满意度。,教育背景要求:本科及以上学历 技能要求:有客户沟通和连接能力、伙伴合作能力、团队管理能力、营销活动执行能力，有一定的ICT知识优先 经验要求：有政企市场工作经验，有销售/渠道拓展成功经验；项目运营经验优先,中国/合肥,安徽政企教育医疗业务,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19756&dataSource=1
产品销售助理,营销族,1、解决方案价值传递：负责客户侧解决方案价值传递，包括客户侧技术交流、联合创新、培训赋能、比拼测试、项目拓展、解决方案设计等。 2、解决方案生态：负责行业解决方案生态建设，包括区域合作伙伴的集成验证、联合创新、培训赋能等。 3、解决顶目支撑．支撑重点解决方案项目拓展、客户引导，负责解决方案设计。 4、日常进行三朵云的建设与数据维护工作，支撑三朵云的内容刷新和升级迭代。,教育背景要求: 本科及以上 ,中国/南京,江苏运营商综合解决方案,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19760&dataSource=1
产品销售助理,营销族,1、支撑产品销售经理在商业市场解决方案拓展及产业伙伴拓展的相关工作；  2、负责销售方案需求分析，设计配置报价，商务申请及下单支撑；  3、配合华技产品经理完成解决方案的上市及面向伙伴的赋能交流，使能伙伴技术人员；  4、参与品牌活动的组织和内容策划，执行议题/展台讲解等工作。 ,教育背景要求: 本科及以上 ,中国/南京,江苏政企Marketing与解决方案销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19750&dataSource=1
渠道销售专员,销售族,负责某个区域/行业的信息化或建筑智能化集成商拓展，建立与维护集成商合作关系。通过与集成商合作实现市场覆盖和销售目标。  1、了解当地集成商体系，能够构建与核心集成商的良好合作关系；  2、优先的经验：有教育、医疗、企业销售经验，或集成商拓展经验。  3、了解数通网络、安全、IT、视频会议、安防等相关产品和解决方案。,教育背景要求: 本科及以上 ,中国/无锡,江苏政企无锡业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19736&dataSource=1
行业代表助理,销售族,协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈；  协助行业代表开展项目运作，保证项目成功率； 支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 支撑行业代表和伙伴销售经理管理客户满意度。,学历： 本科及以上 ,中国/无锡,江苏政企无锡业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19729&dataSource=1
渠道销售专员,销售族,在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成； ,教育背景要求: 本科及以上 ,中国/南京,江苏政企南京业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19722&dataSource=1
渠道销售专员,销售族,在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成； ,教育要求: 本科及以上 ,中国/淮安,江苏政企苏北业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19715&dataSource=1
渠道销售专员,销售族, 1.在指导下对所在区域的商业市场进行洞察，找到主要作战场景； 2.基于公司伙伴地图构建方法，梳理本区域商业市场的渠道沙盘，输出区县或行业的伙伴地图； 3.参考公司伙伴拓展方法，通过维护和拓展本区域的伙伴、开展营销活动等，与伙伴建立合作关系，获取机会点，扩充Pipeline； 4.基于公司机会点管理方法，对获取的机会点，通过与伙伴联合运作，实现机会点到订单，订单到收入，支撑商业市场收入目标达成；,语言要求: 简体中文 教育背景要求: 本科及以上 技能要求: 1、能力要求：伙伴合作能力、团队管理能力、营销活动执行能力； 2、其他：敢于挑战，较强的执行力。 知识要求: 具备ICT领域知识。 ,中国/宜宾,四川政企商业销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19704&dataSource=1
业务发展经理,云服务族,1、根据公司战略和区域和行业业务目标，洞察商业机会，制定NA客户拓展策略并执行；主导完成公有云某子赛道的市场分析和规划，制定行业销售策略； 2、对云服务目标客户及所属行业上云需求进行深入理解、交流、澄清，发掘公有云业务领域的关键机会，牵引和推动重大市场目标拓展； 3、协同各方开展客户及合作伙伴的云服务解决方案的规划设计、测试验证、充值消费，通过端到端的项目运作和客户关系管理，对云服务项目经营、收入目标达成和客户满意度负责； 4、宣传执行云服务生态建设、渠道政策，落实云服务解决方案的品牌营销及上市策略，不断拓展新客户及合作伙伴。,1、教育背景要求：本科以上，理科/工科类； 2、具备相关行业的市场分析和规划，制定行业的销售策略；具有良好的互联网人脉圈子，形成定期的圈子沙龙； 3、具备顾问式销售的客户沟通和引导能力、客户关系建设能力、项目运作和资源协调能力、伙伴合作能力，品牌活动策划和组织能力； 4、具有行业公有云经验者优先；具备重大项目上云解决方案设计经验，具备项目支撑和客户技术方案交流能力者优先，具备IT领域软件技术规划经验和架构设计者优先。,中国/廊坊,中国云互联网拓展部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19680&dataSource=1
产品销售助理,营销族,相对独立执行多个产品在多个一般地市的营销策略，面向地市基层客户和设计院的客户沟通与交流；收集地市商机，高潜用户、场景识别，机会点挖掘和跟踪；开展地市中基层标准产品的品牌和特性指标技术交流，赋能客户；支撑客户面向行业的市场拓展；组织地市产品品牌活动，达成业务经营/格局/竞争目标。  1、面向决策层级在地市的业务，执行新业务产品营销业务策略落地。 2、负责地市的品牌营销执行落地，创新产品测试等试点工作，销售项目的落地流程跟踪等。 3、收集地市商机，地市标准产品的品牌和特性指标技术交流，支撑客户面向行业的市场拓展，帮助客户商业成功。,语言要求: 简体中文 教育背景要求: 本科以上学历。 技能要求:良好的沟通与资源协调能力，有一定的销售项目运作经验。 知识要求: 了解云、计算、存储、DC、接入网、通信能源、5G等解决方案优先。 ,中国/沈阳,辽宁运营商解决方案销售部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19600&dataSource=1
数字能源业务拓展代表,销售族,1、主要对接光伏民企大客户，负责客户关系规划、客户关系拓展、客户满意度管理。 2、担任中小销售项目PD，理解客户需求，制定项目策略，达成项目成功。 3、负责民企能力型合作伙伴拓展与使能。 4、负责民企客户及产业的洞察，形成市场机会。 5、负责客户群的端到端经营指标达成。,技能要求: 光伏/电气/储能专业，光储行业3年以上工作经验 知识要求: 1、光伏、新能源工程、电力、电气工程等相关专业学历 2、具有光伏组件企业工作或合作经验优先,中国/苏州,中国数字能源智能光伏民企大客户部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19666&dataSource=1
渠道销售专员,销售族,在指导下，能够制定所属领域的合作伙伴战略规划，能够较为独立负责某个领域合作伙伴拓展、合作伙伴联合营销活动，实现所负责领域的合作伙伴商业目标，建立与维护价值合作伙伴CXO客户关系，促成双方多方面合作 负责区域内的分销金牌、分销精英渠道体系的布局、搭建。 联合区域内的分销金牌、分销精英落地市场推广动作。  对辖区内分销金牌、分销精英进行日常管理、关系维护及维护市场秩序，指导渠道备货，提升渠道满意度。 对负责渠道的分销销售收入目标达成负责。,教育背景要求: 本科及以上学历,中国/南京,江苏政企分销销售,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19659&dataSource=1
电站微网算法专家,研发族,岗位职责:  负责电站微网解决方案需求规划和方案设计，包括微网并离网算法等特性，同时洞察光伏电站领域发展趋势，构建新标准、重要专利/核心技术、规范、新平台、新工具、新方法落地等方面核心竞争力。  ,1、教育背景要求:  全日制本科及以上									 2、技能要求:负责智能光伏产品或场景解决方案的系统架构设计、演进路线规划及平台化设计工作。									 3、知识和能力要求:									 （1）电气工程、电子及科学与技术、控制科学与工程、计算机等相关或相近专业本科及以上学历；									 （2）具备产品系统设计开发知识和经验，了解我司产品开发工作流程和系统设计方法论；									 （3）了解逆变器/UPS/变频器等电源部件基础知识，有功率硬件、功率软件等开发经验（更佳）；																		 4、有良好的沟通和表达能力，工作态度积极主动，有较强的主动进取精神。									 ,中国/上海,智能光伏技术开发（模块）,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19573&dataSource=1
行业代表助理,销售族,1、协助行业代表和渠道经理开展区域市场运作，负责销售策略的执行落地，维护客户和渠道关系； 2、协助行业代表和渠道经理建立匹配行业/客户/区域的合作伙伴生态圈； 3、协助行业代表开展项目运作，保证项目成功率； 4、支撑行业代表落实营销策略，联合渠道进行营销活动执行，达成收入目标； 5、支撑行业代表和伙伴销售经理管理客户满意度。 ,知识/技能——有一定的ICT知识优先	 能力——客户沟通和连接能力、伙伴合作能力、团队管理能力、营销活动执行能力	 经验——优先的经验：有政企市场工作经验，有销售/渠道拓展成功经验；项目运营经验等；	 其它——有2年及以上销售成功经验优先；,中国/温州,浙江政企温丽业务部,https://career.huawei.com/reccampportal/portal5/social-recruitment-detail.html?jobId=19602&dataSource=1
